Date	Close(GCc1)	Close(SIc1)	Close(CLc1)
14/02/2020	1582.7	17.715	52.05
13/02/2020	1575.1	17.6	51.42
12/02/2020	1567.4	17.478	51.17
11/02/2020	1565.6	17.573	49.94
10/02/2020	1574.7	17.758	49.57
07/02/2020	1568.6	17.665	50.32
06/02/2020	1565.1	17.789	50.95
05/02/2020	1557.8	17.569	50.75
04/02/2020	1550.4	17.528	49.61
03/02/2020	1577.2	17.64	50.11
31/01/2020	1582.9	17.972	51.56
30/01/2020	1583.5	17.952	52.14
29/01/2020	1569.8	17.431	53.33
28/01/2020	1569.2	17.402	53.48
27/01/2020	1576.8	18	53.14
24/01/2020	1571.1	18.057	54.19
23/01/2020	1564.6	17.773	55.59
22/01/2020	1555.3	17.771	56.74
21/01/2020	1556.4	17.751	58.34
17/01/2020	1558.8	18.013	58.54
16/01/2020	1549	17.875	58.52
15/01/2020	1552.1	17.923	57.81
14/01/2020	1542.4	17.674	58.23
13/01/2020	1548.4	17.926	58.08
10/01/2020	1557.5	18.033	59.04
09/01/2020	1551.7	17.86	59.56
08/01/2020	1557.4	18.088	59.61
07/01/2020	1571.8	18.316	62.7
06/01/2020	1566.2	18.097	63.27
03/01/2020	1549.2	18.068	63.05
02/01/2020	1524.5	17.966	61.18
31/12/2019	1519.5	17.828	61.06
