"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 17, 2020","341.70","337.90","344.70","329.90","0.24K","2.74%"
"Apr 20, 2020","328.50","333.00","340.60","326.00","0.26K","-3.86%"
"Apr 21, 2020","317.50","324.70","325.60","314.00","0.23K","-3.35%"
"Apr 22, 2020","329.40","323.70","329.40","320.90","0.18K","3.75%"
"Apr 23, 2020","325.20","329.20","333.30","324.70","0.13K","-1.28%"
"Apr 24, 2020","322.30","323.70","330.20","320.00","0.11K","-0.89%"
"Apr 27, 2020","315.60","318.30","318.30","311.10","0.06K","-2.08%"
"Apr 28, 2020","326.50","314.00","331.50","314.00","0.10K","3.45%"
"Apr 29, 2020","317.90","325.00","325.00","317.30","0.03K","-2.63%"
"Apr 30, 2020","319.70","320.60","324.70","314.50","0.07K","0.57%"
"May 01, 2020","327.00","320.00","332.30","320.00","0.07K","2.28%"
"May 04, 2020","330.00","331.70","334.90","328.00","0.07K","0.92%"
"May 05, 2020","336.20","334.70","339.70","334.70","0.07K","1.88%"
"May 06, 2020","327.40","337.00","340.00","325.20","0.07K","-2.62%"
"May 07, 2020","332.00","322.20","333.10","320.20","0.03K","1.41%"
"May 08, 2020","342.60","335.00","342.60","335.00","0.04K","3.19%"
"May 11, 2020","331.00","344.10","349.00","331.00","0.05K","-3.39%"
"May 12, 2020","341.00","342.00","342.00","342.00","0.02K","3.02%"
"May 13, 2020","335.10","334.40","345.00","334.40","0.03K","-1.73%"
"May 14, 2020","343.50","335.10","345.00","335.10","0.04K","2.51%"
"May 15, 2020","333.00","328.50","328.50","328.50","0.00K","-3.06%"
"May 18, 2020","346.20","349.80","351.00","343.30","0.14K","3.96%"
"May 19, 2020","354.30","350.00","355.80","348.10","0.21K","2.34%"
"May 20, 2020","367.50","353.20","372.80","349.90","0.38K","3.73%"
"May 21, 2020","370.30","366.00","376.00","362.10","0.35K","0.76%"
"May 22, 2020","367.50","370.00","374.00","363.90","0.18K","-0.76%"
"May 26, 2020","356.80","371.50","375.00","353.80","0.25K","-2.91%"
"May 27, 2020","359.90","357.80","361.90","356.00","0.11K","0.87%"
"May 28, 2020","368.30","362.60","378.50","354.60","0.47K","2.33%"
"May 29, 2020","367.10","367.90","370.30","362.20","0.23K","-0.33%"
"Jun 01, 2020","362.30","362.30","367.70","362.20","0.15K","-1.31%"
"Jun 02, 2020","357.00","362.20","362.30","356.50","0.20K","-1.46%"
"Jun 03, 2020","348.10","359.60","359.60","346.30","0.26K","-2.49%"
"Jun 04, 2020","356.20","350.10","357.30","350.10","0.20K","2.33%"
"Jun 05, 2020","368.80","361.60","368.80","360.60","0.28K","3.54%"
"Jun 08, 2020","370.80","368.80","376.80","368.80","0.31K","0.54%"
"Jun 09, 2020","357.60","369.80","369.80","354.00","0.28K","-3.56%"
"Jun 10, 2020","362.00","357.80","367.50","354.00","0.18K","1.23%"
"Jun 11, 2020","351.00","360.70","368.90","349.70","0.33K","-3.04%"
"Jun 12, 2020","354.60","354.70","360.10","351.00","0.20K","1.03%"
"Jun 15, 2020","361.30","351.10","362.60","351.10","0.22K","1.89%"
"Jun 16, 2020","373.40","364.70","375.00","364.70","0.41K","3.35%"
"Jun 17, 2020","382.30","371.10","386.00","367.10","0.38K","2.38%"
"Jun 18, 2020","401.30","385.70","401.30","382.80","0.46K","4.97%"
"Jun 19, 2020","421.40","409.90","424.70","407.50","0.42K","5.01%"
"Jun 22, 2020","430.10","418.00","435.10","417.90","0.39K","2.06%"
"Jun 23, 2020","440.70","430.00","441.30","427.30","0.25K","2.46%"
"Jun 24, 2020","428.80","438.10","438.90","422.70","0.25K","-2.70%"
"Jun 25, 2020","435.60","426.80","444.00","426.80","0.15K","1.59%"
"Jun 26, 2020","430.50","440.00","447.70","427.50","0.21K","-1.17%"
"Jun 29, 2020","426.10","425.10","430.40","422.30","0.10K","-1.02%"
"Jun 30, 2020","435.70","428.70","438.30","427.20","0.14K","2.25%"
"Jul 01, 2020","438.60","439.00","439.30","435.10","0.06K","0.67%"
"Jul 02, 2020","448.00","443.70","454.00","443.70","0.07K","2.14%"
"Jul 06, 2020","460.10","449.60","460.00","449.60","0.05K","2.70%"
"Jul 07, 2020","471.00","466.10","474.80","461.20","0.05K","2.37%"
"Jul 08, 2020","485.00","470.20","487.00","465.00","0.04K","2.97%"
"Jul 09, 2020","499.00","486.30","499.00","482.30","0.09K","2.89%"
"Jul 10, 2020","539.00","499.00","570.00","499.00","0.06K","8.02%"
"Jul 13, 2020","533.40","544.10","549.90","533.40","0.02K","-1.04%"
"Jul 14, 2020","583.00","553.00","583.00","553.00","0.01K","9.30%"
"Jul 15, 2020","600.00","600.00","600.00","600.00","0.00K","2.92%"
"Jul 16, 2020","524.20","508.00","524.20","508.00","0.49K","-12.63%"
"Jul 17, 2020","550.80","534.60","553.20","531.10","0.57K","5.07%"
"Jul 20, 2020","532.20","553.00","564.30","531.80","0.56K","-3.38%"
"Jul 21, 2020","513.20","529.50","529.50","513.20","0.32K","-3.57%"
"Jul 22, 2020","510.50","509.00","524.00","484.20","0.77K","-0.53%"
"Jul 23, 2020","522.40","511.00","529.50","505.00","0.46K","2.33%"
"Jul 24, 2020","541.40","531.60","541.40","531.50","0.33K","3.64%"
"Jul 27, 2020","567.90","555.10","570.40","555.10","0.44K","4.89%"
"Jul 28, 2020","566.90","568.00","579.20","561.90","0.35K","-0.18%"
"Jul 29, 2020","585.00","574.10","585.90","569.00","0.26K","3.19%"
"Jul 30, 2020","580.40","588.80","589.30","567.00","0.45K","-0.79%"
"Jul 31, 2020","585.80","594.80","598.80","575.20","0.55K","0.93%"
"Aug 03, 2020","596.20","595.00","600.80","584.10","0.28K","1.78%"
"Aug 04, 2020","610.90","597.70","611.00","586.60","0.37K","2.47%"
"Aug 05, 2020","622.60","612.40","624.60","603.20","0.45K","1.92%"
"Aug 06, 2020","641.60","626.50","641.60","618.90","0.29K","3.05%"
"Aug 07, 2020","648.00","649.40","659.40","630.00","0.73K","1.00%"
"Aug 10, 2020","662.50","650.00","664.90","646.30","0.25K","2.24%"
"Aug 11, 2020","681.50","662.50","681.50","660.00","0.42K","2.87%"
"Aug 12, 2020","706.00","695.00","710.50","691.70","0.56K","3.60%"
"Aug 13, 2020","725.00","710.00","725.00","703.00","0.51K","2.69%"
"Aug 14, 2020","726.50","734.10","748.00","703.20","0.85K","0.21%"
"Aug 17, 2020","735.00","724.00","738.50","709.60","0.51K","1.17%"
"Aug 18, 2020","754.00","751.00","754.00","751.00","0.38K","2.59%"
"Aug 19, 2020","782.90","770.60","783.00","767.00","0.78K","3.83%"
"Aug 20, 2020","801.90","789.90","801.90","778.00","0.71K","2.43%"
"Aug 21, 2020","830.90","819.00","830.90","811.50","0.76K","3.62%"
"Aug 24, 2020","810.30","839.10","859.90","801.90","1.33K","-2.48%"
"Aug 25, 2020","829.30","796.30","829.30","791.30","0.84K","2.34%"
"Aug 26, 2020","858.30","847.10","858.30","844.30","0.32K","3.50%"
"Aug 27, 2020","887.30","887.30","887.30","887.30","0.28K","3.38%"
"Aug 28, 2020","915.50","916.30","916.30","883.30","0.92K","3.18%"
"Aug 31, 2020","928.00","917.50","934.50","917.50","0.30K","1.37%"
"Sep 01, 2020","928.50","931.00","933.00","898.10","0.16K","0.05%"
"Sep 02, 2020","903.30","924.90","925.00","900.00","0.08K","-2.71%"
"Sep 03, 2020","830.00","888.30","888.30","805.00","0.17K","-8.11%"
"Sep 04, 2020","879.90","810.00","888.00","781.90","0.18K","6.01%"
"Sep 08, 2020","875.00","871.00","905.00","871.00","0.10K","-0.56%"
"Sep 09, 2020","900.00","883.00","910.90","875.00","0.12K","2.86%"
